provider,endpoint,model_id,model_family,catalog_snapshot_file,catalog_snapshot_sha256,limits_snapshot_file,access_date_utc,api_type,reasoning_requested,reasoning_observed,temperature_supported,seed_supported,system_role_supported,max_tokens_field,python_client_version,selection_reason,freeze_date
OpenCode Go,https://opencode.ai/zen/go/v1,deepseek-v4-flash,DeepSeek,protocol/provider_catalog_snapshot_20260704.json,ea31ec633e022248031c222f9631cebc7ba32bc35795dc31bc4508d02c0958d6,protocol/provider_limits_snapshot_20260704.md,2026-07-04T18:49:34+00:00,openai-chat-completions,False,True,True,True,True,max_tokens,2.44.0,Pre-specified by protocol v1.2; not selected from test performance.,2026-07-04T18:50:42+00:00
OpenCode Go,https://opencode.ai/zen/go/v1,kimi-k2.7-code,Kimi,protocol/provider_catalog_snapshot_20260704.json,ea31ec633e022248031c222f9631cebc7ba32bc35795dc31bc4508d02c0958d6,protocol/provider_limits_snapshot_20260704.md,2026-07-04T18:49:34+00:00,openai-chat-completions,False,True,False,True,True,max_tokens,2.44.0,Pre-specified by protocol v1.2; not selected from test performance.,2026-07-04T18:50:42+00:00
OpenCode Go,https://opencode.ai/zen/go/v1,glm-5.2,GLM,protocol/provider_catalog_snapshot_20260704.json,ea31ec633e022248031c222f9631cebc7ba32bc35795dc31bc4508d02c0958d6,protocol/provider_limits_snapshot_20260704.md,2026-07-04T18:49:34+00:00,openai-chat-completions,False,False,True,True,True,max_tokens,2.44.0,Pre-specified by protocol v1.2; not selected from test performance.,2026-07-04T18:50:42+00:00
