model_id,taxonomy_condition,strict_parse_rate,krippendorff_alpha,dominant_label_agreement,unanimous_rate,overall_pairwise_flip_rate,prediction_entropy_normalized,krippendorff_alpha_ci_low,krippendorff_alpha_ci_high,pairwise_flip_rate_ci_low,pairwise_flip_rate_ci_high,prediction_entropy_ci_low,prediction_entropy_ci_high,bootstrap_samples,bootstrap_seed,bootstrap_unit,n_units,n_predictions
deepseek-v4-flash,T0,0.997037037037037,0.9532459185872119,0.9835185185185185,0.9266666666666666,0.028042328042328042,0.03465744877211968,0.9260664649577779,0.9775245226761767,0.013333333333333334,0.04518518518518518,0.01664173905102265,0.05549155228403812,10000,20260704,issue id; nine instruction-by-repeat predictions carried together,150,1350
deepseek-v4-flash,T2,0.9962962962962963,0.9458886998749063,0.98,0.9066666666666666,0.033544973544973544,0.04172608870173316,0.9180024581355094,0.9734407876872421,0.016824735449735447,0.05227579365079365,0.021304399348795217,0.06443418924334851,10000,20260705,issue id; nine instruction-by-repeat predictions carried together,150,1350
deepseek-v4-flash,T4,0.9918518518518519,0.9528638556431355,0.9815476190476191,0.92,0.029179894179894177,0.03605497558073207,0.9251705567820562,0.9789462105467437,0.013571428571428571,0.047302248677248665,0.017052140894109523,0.05751635801575255,10000,20260706,issue id; nine instruction-by-repeat predictions carried together,150,1350
glm-5.2,T0,0.9955555555555555,0.9693126770861895,0.9875661375661378,0.9466666666666667,0.01947089947089947,0.024001224630057726,0.9465791998176968,0.9898940757581016,0.007082010582010589,0.034920634920634915,0.008839106212094853,0.04240830189766908,10000,20260714,issue id; nine instruction-by-repeat predictions carried together,150,1350
glm-5.2,T2,0.997037037037037,0.9857567107141213,0.9948148148148148,0.98,0.008518518518518517,0.010291325908167047,0.966892322279349,1.0,0.0,0.01962962962962963,0.0,0.023797047556131965,10000,20260715,issue id; nine instruction-by-repeat predictions carried together,150,1350
glm-5.2,T4,0.9992592592592593,0.9764676913125611,0.9903703703703702,0.9666666666666667,0.014074074074074074,0.01688292084993829,0.9533837745679969,0.9952875755956105,0.0025925925925925925,0.02777777777777778,0.0032143957397978737,0.0328131986016593,10000,20260716,issue id; nine instruction-by-repeat predictions carried together,150,1350
kimi-k2.7-code,T0,1.0,0.9331924359804903,0.9740740740740739,0.8866666666666667,0.04111111111111111,0.05112066570688105,0.8984374435517231,0.9626209035279073,0.022592592592592595,0.06222222222222223,0.028707858717492176,0.07652060567813958,10000,20260724,issue id; nine instruction-by-repeat predictions carried together,150,1350
kimi-k2.7-code,T2,0.9918518518518519,0.9410956575092813,0.9756746031746032,0.9066666666666666,0.03806878306878307,0.04563147284376374,0.913805497067811,0.9725892326197831,0.019390873015873014,0.059735449735449725,0.02349659915151737,0.07073188039390492,10000,20260725,issue id; nine instruction-by-repeat predictions carried together,150,1350
kimi-k2.7-code,T4,0.9925925925925926,0.953253560097425,0.9833333333333333,0.9066666666666666,0.02957671957671958,0.03789542610832295,0.9301110598598735,0.9778294078286307,0.015185185185185185,0.04611177248677248,0.019862293433406387,0.05858194845878163,10000,20260726,issue id; nine instruction-by-repeat predictions carried together,150,1350
