comparison,observed_delta_macro_f1,ci_low,ci_high,bootstrap_samples,bootstrap_seed,resampling_unit,interpretation
T1-T2,0.003804820100745454,-0.006422718949695472,0.013956654268910811,10000,20260704,"projects first, then issue ids within sampled projects; all model predictions for each sampled issue are carried together",post-result project-clustered representation sensitivity
T1-T3,0.01199768924996858,0.004418219629916248,0.02125592152374072,10000,20260704,"projects first, then issue ids within sampled projects; all model predictions for each sampled issue are carried together",post-result project-clustered representation sensitivity
T1-T4,0.007320030047639481,-0.004833360666768943,0.01968688457245478,10000,20260704,"projects first, then issue ids within sampled projects; all model predictions for each sampled issue are carried together",post-result project-clustered representation sensitivity
T2-T3,0.008192869149223125,-0.001843584348713756,0.018555342699073905,10000,20260704,"projects first, then issue ids within sampled projects; all model predictions for each sampled issue are carried together",post-result project-clustered representation sensitivity
T2-T4,0.0035152099468940268,-0.005182802703502534,0.013148238219266202,10000,20260704,"projects first, then issue ids within sampled projects; all model predictions for each sampled issue are carried together",post-result project-clustered representation sensitivity
T3-T4,-0.004677659202329099,-0.01709492307715206,0.0076054551102674945,10000,20260704,"projects first, then issue ids within sampled projects; all model predictions for each sampled issue are carried together",post-result project-clustered representation sensitivity
