comparison,project_model_block_mean,project_model_negative_blocks,project_model_blocks,project_mean,project_ci_low,project_ci_high,negative_project_means,projects,negative_model_means,models,project_clustered_observed_delta,project_clustered_ci_low,project_clustered_ci_high,interpretation
T1-T0,-0.022244122619658645,13,15,-0.022244122619658645,-0.03508345850709509,-0.010525897036122745,5,5,3,3,-0.02337858112422131,-0.0392251598579623,-0.008279047164351298,direction is not unanimous across sensitivity levels
T2-T0,-0.026560538190173552,12,15,-0.026560538190173556,-0.03265843163662377,-0.02146403315687622,5,5,3,3,-0.027183401224966763,-0.03726184852385933,-0.01751529615226857,direction is not unanimous across sensitivity levels
T3-T0,-0.03521427242322493,15,15,-0.03521427242322493,-0.04731040247127008,-0.023572054413195802,5,5,3,3,-0.03537627037418989,-0.050770176016452985,-0.020485263355084896,"direction agrees across 15 blocks, 5 project means, and 3 model means"
T4-T0,-0.02979734268433273,13,15,-0.029797342684332727,-0.03932651244168674,-0.020564191758118047,5,5,3,3,-0.03069861117186079,-0.043778211564989095,-0.017969452838263907,direction is not unanimous across sensitivity levels
"mean(T1,T2,T3,T4)-T0",-0.028454068979347488,13,15,-0.028454068979347484,-0.03760617206493307,-0.02017104127193029,5,5,3,3,-0.02915921597380966,-0.04121213336187653,-0.017474957596593486,direction is not unanimous across sensitivity levels
