taxonomy_condition,scope,unit_count,mean_pairwise_repeat_flip_rate,prediction_stability,unanimous_repeat_rate,krippendorff_alpha_nominal_four_state
T0,all_systems,450,0.028148148148148148,0.9718518518518519,0.9577777777777777,0.953732402120681
T0,deepseek-v4-flash,150,0.035555555555555556,0.9644444444444444,0.9466666666666667,0.9406487004510831
T0,glm-5.2,150,0.013333333333333334,0.9866666666666667,0.98,0.9779610268492612
T0,kimi-k2.7-code,150,0.035555555555555556,0.9644444444444444,0.9466666666666667,0.9428507788013301
T3,all_systems,450,0.039259259259259265,0.9607407407407408,0.9466666666666667,0.9347708673557829
T3,deepseek-v4-flash,150,0.044444444444444446,0.9555555555555556,0.94,0.9262095713910071
T3,glm-5.2,150,0.017777777777777778,0.9822222222222222,0.9733333333333334,0.9703996703749485
T3,kimi-k2.7-code,150,0.05555555555555556,0.9444444444444444,0.9266666666666666,0.9081664375940834
