comparison,observed_delta_macro_f1,ci_low,ci_high,simultaneous_95_ci_low,simultaneous_95_ci_high,simultaneous_90_ci_low,simultaneous_90_ci_high,simultaneous_95_critical_value,simultaneous_90_critical_value,bootstrap_samples,bootstrap_seed,resampling_unit,pairing,weighting,estimand,equivalence,reference_interval_basis
T1-T0,-0.022244122619658645,-0.031094819503877498,-0.01359563365030046,-0.033285518801793874,-0.011202726437523415,-0.031941018928568786,-0.012547226310748503,0.01104139618213523,0.009696896308910142,10000,20260704,all five repositories fixed; issue ids resampled within each repository with replacement,sampled issue carries all system and taxonomy-condition predictions together,equal weight for each repository and each tested system via project-by-system cell deltas,finite benchmark average over the five repositories and three provider-facing system aliases,negative; overlaps -0.02,post-result simultaneous 90% max-deviation interval over the four prespecified contrasts
T2-T0,-0.026560538190173552,-0.0351558651013132,-0.018530195057241204,-0.037601934372308785,-0.015519142008038321,-0.036257434499083696,-0.016863641881263408,0.01104139618213523,0.009696896308910142,10000,20260704,all five repositories fixed; issue ids resampled within each repository with replacement,sampled issue carries all system and taxonomy-condition predictions together,equal weight for each repository and each tested system via project-by-system cell deltas,finite benchmark average over the five repositories and three provider-facing system aliases,negative; overlaps -0.02,post-result simultaneous 90% max-deviation interval over the four prespecified contrasts
T3-T0,-0.03521427242322493,-0.04527115853140183,-0.02545549611719247,-0.046255668605360165,-0.0241728762410897,-0.044911168732135076,-0.025517376114314788,0.01104139618213523,0.009696896308910142,10000,20260704,all five repositories fixed; issue ids resampled within each repository with replacement,sampled issue carries all system and taxonomy-condition predictions together,equal weight for each repository and each tested system via project-by-system cell deltas,finite benchmark average over the five repositories and three provider-facing system aliases,negative beyond -0.02,post-result simultaneous 90% max-deviation interval over the four prespecified contrasts
T4-T0,-0.02979734268433273,-0.03908343960355908,-0.020970045122295514,-0.04083873886646796,-0.0187559465021975,-0.03949423899324287,-0.02010044637542259,0.01104139618213523,0.009696896308910142,10000,20260704,all five repositories fixed; issue ids resampled within each repository with replacement,sampled issue carries all system and taxonomy-condition predictions together,equal weight for each repository and each tested system via project-by-system cell deltas,finite benchmark average over the five repositories and three provider-facing system aliases,negative beyond -0.02,post-result simultaneous 90% max-deviation interval over the four prespecified contrasts
"mean(T1,T2,T3,T4)-T0",-0.028454068979347488,-0.03653300232016562,-0.02072149992080916,,,,,0.01104139618213523,0.009696896308910142,10000,20260704,all five repositories fixed; issue ids resampled within each repository with replacement,sampled issue carries all system and taxonomy-condition predictions together,equal weight for each repository and each tested system via project-by-system cell deltas,finite benchmark average over the five repositories and three provider-facing system aliases,not assessed for post-result aggregate,post-result aggregate is outside the four-contrast family
