model_id,taxonomy_condition,strict_parse_rate,contract_aware_alpha,contract_aware_pairwise_flip_rate,mean_invalid_share_per_issue,n_units,n_predictions
deepseek-v4-flash,T0,0.997037037037037,0.9441791050265932,0.03333333333333333,0.002962962962962963,150,1350
deepseek-v4-flash,T2,0.9962962962962963,0.9360802159210817,0.03851851851851852,0.003703703703703704,150,1350
deepseek-v4-flash,T4,0.9918518518518519,0.9299205199820696,0.04240740740740741,0.00814814814814815,150,1350
glm-5.2,T0,0.9955555555555555,0.957231860112901,0.02592592592592593,0.0044444444444444444,150,1350
glm-5.2,T2,0.997037037037037,0.9766293614219882,0.014074074074074074,0.002962962962962963,150,1350
glm-5.2,T4,0.9992592592592593,0.9740356749404715,0.015555555555555557,0.0007407407407407407,150,1350
kimi-k2.7-code,T0,1.0,0.9331924359804903,0.04111111111111111,0.0,150,1350
kimi-k2.7-code,T2,0.9918518518518519,0.9220704819662249,0.04685185185185186,0.00814814814814815,150,1350
kimi-k2.7-code,T4,0.9925925925925926,0.9342635907910414,0.03944444444444444,0.007407407407407406,150,1350
