sensitivity,removed_issue_count,remaining_issue_count,minimum_removed_issue_max_input_tokens,main_test_max_input_tokens,comparison,mean_delta_macro_f1,negative_repository_system_cells,repository_system_cells,filtering_rule,analysis_status
Remove longest 1%,15,1485,10479,26994,T1-T0,-0.021457192191208445,13,15,issue length is the maximum retained provider input-token count across all system-condition rows; complete issue clusters removed,post-result descriptive sensitivity; point estimates only
Remove longest 1%,15,1485,10479,26994,T2-T0,-0.026004297254131538,12,15,issue length is the maximum retained provider input-token count across all system-condition rows; complete issue clusters removed,post-result descriptive sensitivity; point estimates only
Remove longest 1%,15,1485,10479,26994,T3-T0,-0.03477960527692341,15,15,issue length is the maximum retained provider input-token count across all system-condition rows; complete issue clusters removed,post-result descriptive sensitivity; point estimates only
Remove longest 1%,15,1485,10479,26994,T4-T0,-0.028761265302620374,12,15,issue length is the maximum retained provider input-token count across all system-condition rows; complete issue clusters removed,post-result descriptive sensitivity; point estimates only
Remove longest 5%,75,1425,2703,26994,T1-T0,-0.020627941919771138,13,15,issue length is the maximum retained provider input-token count across all system-condition rows; complete issue clusters removed,post-result descriptive sensitivity; point estimates only
Remove longest 5%,75,1425,2703,26994,T2-T0,-0.025165585084124142,12,15,issue length is the maximum retained provider input-token count across all system-condition rows; complete issue clusters removed,post-result descriptive sensitivity; point estimates only
Remove longest 5%,75,1425,2703,26994,T3-T0,-0.03418786333761792,14,15,issue length is the maximum retained provider input-token count across all system-condition rows; complete issue clusters removed,post-result descriptive sensitivity; point estimates only
Remove longest 5%,75,1425,2703,26994,T4-T0,-0.027371137291014577,13,15,issue length is the maximum retained provider input-token count across all system-condition rows; complete issue clusters removed,post-result descriptive sensitivity; point estimates only
