comparison,t0_invalid_rate,condition_invalid_rate,observed_invalid_rate_difference,nominal_95_ci_low,nominal_95_ci_high,simultaneous_95_ci_low,simultaneous_95_ci_high,simultaneous_90_ci_low,simultaneous_90_ci_high,marginal_permutation_p,max_abs_adjusted_permutation_p,family_omnibus_max_abs_p,simultaneous_95_critical_value,simultaneous_90_critical_value,permutation_draws,bootstrap_draws,seed,cluster_unit,analysis_status
T1-T0,0.0031111111111111114,0.012888888888888887,0.009777777777777776,0.005999999999999999,0.013777777777777778,0.004888888888888889,0.014666666666666663,0.005555555555555551,0.014,0.00019998000199980003,0.00019998000199980003,9.999000099990002e-05,0.004888888888888887,0.004222222222222224,10000,10000,20260704,issue id; all system and condition outcomes are carried together,post-result fixed-benchmark compliance sensitivity
T2-T0,0.0031111111111111114,0.011555555555555557,0.008444444444444445,0.004888888888888889,0.012222222222222221,0.0035555555555555583,0.013333333333333332,0.004222222222222221,0.01266666666666667,0.00019998000199980003,0.00029997000299970003,9.999000099990002e-05,0.004888888888888887,0.004222222222222224,10000,10000,20260704,issue id; all system and condition outcomes are carried together,post-result fixed-benchmark compliance sensitivity
T3-T0,0.0031111111111111114,0.01222222222222222,0.009111111111111108,0.005333333333333332,0.01311111111111111,0.004222222222222221,0.013999999999999995,0.004888888888888884,0.013333333333333332,9.999000099990002e-05,0.00029997000299970003,9.999000099990002e-05,0.004888888888888887,0.004222222222222224,10000,10000,20260704,issue id; all system and condition outcomes are carried together,post-result fixed-benchmark compliance sensitivity
T4-T0,0.0031111111111111114,0.014444444444444442,0.01133333333333333,0.007555555555555554,0.015333333333333332,0.006444444444444444,0.016222222222222218,0.007111111111111106,0.015555555555555555,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,0.004888888888888887,0.004222222222222224,10000,10000,20260704,issue id; all system and condition outcomes are carried together,post-result fixed-benchmark compliance sensitivity
