model_id,comparison,mean_delta_macro_f1,median_delta_macro_f1,ci_low,ci_high,min_delta,max_delta,n_projects
deepseek-v4-flash,"mean(T1,T2,T3,T4)-T0",-0.013352320396634,-0.0058564354727896,-0.0375069725234871,0.0020533291725927,-0.0600750843020163,0.0064795275030223,5
glm-5.2,"mean(T1,T2,T3,T4)-T0",-0.0249425786693914,-0.0201060031439495,-0.0316493068703765,-0.0183529325451877,-0.0352431248680695,-0.0168466055872642,5
kimi-k2.7-code,"mean(T1,T2,T3,T4)-T0",-0.0470673078720168,-0.0521330718498279,-0.0615613139860516,-0.0320590872413928,-0.0709299743838861,-0.0240109715402968,5
