model_id,taxonomy_condition,mean_macro_f1,macro_f1_range_across_variant_repeats,strict_parse_rate,repeat_pairwise_flip_rate,instruction_pairwise_flip_rate,denominator_note
deepseek-v4-flash,T0,0.6713040925790754,0.04549473605089749,0.997037037037037,0.02666666666666667,0.028888888888888888,repeat flips compare the three repeats within a fixed instruction; instruction flips compare P1/P2/P3 within a fixed repeat
deepseek-v4-flash,T2,0.6757654025822002,0.044057425687771046,0.9962962962962963,0.03629629629629629,0.037037037037037035,repeat flips compare the three repeats within a fixed instruction; instruction flips compare P1/P2/P3 within a fixed repeat
deepseek-v4-flash,T4,0.6771141183793856,0.03626501271281213,0.9918518518518519,0.028888888888888888,0.02821083890126206,repeat flips compare the three repeats within a fixed instruction; instruction flips compare P1/P2/P3 within a fixed repeat
glm-5.2,T0,0.6939282904264695,0.03262129631330679,0.9955555555555555,0.017037037037037035,0.018518518518518517,repeat flips compare the three repeats within a fixed instruction; instruction flips compare P1/P2/P3 within a fixed repeat
glm-5.2,T2,0.6943606770269988,0.018106386025200316,0.997037037037037,0.007407407407407407,0.008908685968819599,repeat flips compare the three repeats within a fixed instruction; instruction flips compare P1/P2/P3 within a fixed repeat
glm-5.2,T4,0.6910779112514442,0.0277781186513395,0.9992592592592593,0.014814814814814814,0.013333333333333334,repeat flips compare the three repeats within a fixed instruction; instruction flips compare P1/P2/P3 within a fixed repeat
kimi-k2.7-code,T0,0.7124720397277515,0.0349044180985425,1.0,0.04148148148148147,0.04148148148148147,repeat flips compare the three repeats within a fixed instruction; instruction flips compare P1/P2/P3 within a fixed repeat
kimi-k2.7-code,T2,0.68565535847868,0.04361253195942871,0.9918518518518519,0.03422619047619047,0.037037037037037035,repeat flips compare the three repeats within a fixed instruction; instruction flips compare P1/P2/P3 within a fixed repeat
kimi-k2.7-code,T4,0.6957639922789464,0.06275994832695853,0.9925925925925926,0.030370370370370364,0.02598366740905716,repeat flips compare the three repeats within a fixed instruction; instruction flips compare P1/P2/P3 within a fixed repeat
