taxonomy_condition,mean_macro_f1,median_macro_f1,ci_low,ci_high,mean_mcc,mean_balanced_accuracy,mean_invalid_rate,n_blocks
T0,0.7301167654695121,0.759267215658193,0.6970436272175342,0.7594820038278122,0.6438448894176456,0.7446666666666668,0.0031111111111110936,15
T1,0.7078726428498534,0.7308904933003463,0.6793485300302872,0.735429419203866,0.6146401852536177,0.7215555555555556,0.012888888888888854,15
T2,0.7035562272793385,0.710626735554989,0.674347256547989,0.72969778348086,0.6117237591438216,0.7193333333333333,0.01155555555555552,15
T3,0.6949024930462873,0.7063961027008675,0.6637063993734565,0.7240767151387135,0.6063044653566084,0.7135555555555555,0.012222222222222193,15
T4,0.7003194227851796,0.7154305702070957,0.6723477948519393,0.7254739676948223,0.6099464195955466,0.7164444444444443,0.01444444444444441,15
