system,condition_or_setting,pooled_global_macro_f1,project_mean_macro_f1,definition,interpretation
LLM zero-shot pooled across three provider-facing system aliases,Label-only,0.7354193265736683,0.7301167654695121,Pooled global uses all model-issue prediction rows for the condition; project mean is the unweighted mean of 15 repository-model Macro-F1 cells.,contextual descriptive reference; not a direct supervised-baseline ranking claim
LLM zero-shot pooled across three provider-facing system aliases,Compact-prose enrichment,0.712040745449447,0.7078726428498534,Pooled global uses all model-issue prediction rows for the condition; project mean is the unweighted mean of 15 repository-model Macro-F1 cells.,contextual descriptive reference; not a direct supervised-baseline ranking claim
LLM zero-shot pooled across three provider-facing system aliases,Bullet-list enrichment,0.7082359253487015,0.7035562272793385,Pooled global uses all model-issue prediction rows for the condition; project mean is the unweighted mean of 15 repository-model Macro-F1 cells.,contextual descriptive reference; not a direct supervised-baseline ranking claim
LLM zero-shot pooled across three provider-facing system aliases,Markdown-table enrichment,0.7000430561994784,0.6949024930462873,Pooled global uses all model-issue prediction rows for the condition; project mean is the unweighted mean of 15 repository-model Macro-F1 cells.,contextual descriptive reference; not a direct supervised-baseline ranking claim
LLM zero-shot pooled across three provider-facing system aliases,JSON-like-schema enrichment,0.7047207154018075,0.7003194227851796,Pooled global uses all model-issue prediction rows for the condition; project mean is the unweighted mean of 15 repository-model Macro-F1 cells.,contextual descriptive reference; not a direct supervised-baseline ranking claim
Supervised TF-IDF + Linear SVM,train-all test-all contextual baseline,0.7470957798125412,0.7459255037628619,"Pooled global uses the single train-all/test-all SVM over all 1,500 test issues; project mean is the unweighted mean of five repository Macro-F1 values.",contextual descriptive reference; not a direct zero-shot LLM system-ranking claim
