taxonomy_condition,label,precision,recall,f1,support,macro_f1,micro_f1_accuracy,invalid_rate
T0,bug,0.6389261744966444,0.952,0.7646586345381526,1500,0.7354193265736683,0.7446666666666667,0.003111111111111111
T0,feature,0.8749096167751266,0.8066666666666666,0.839403399236906,1500,0.7354193265736683,0.7446666666666667,0.003111111111111111
T0,question,0.8214285714285714,0.47533333333333333,0.6021959459459459,1500,0.7354193265736683,0.7446666666666667,0.003111111111111111
T1,bug,0.6184440559440559,0.9433333333333334,0.7470960929250264,1500,0.712040745449447,0.7215555555555555,0.012888888888888889
T1,feature,0.8638328530259366,0.7993333333333333,0.8303324099722992,1500,0.712040745449447,0.7215555555555555,0.012888888888888889
T1,question,0.8263707571801566,0.422,0.558693733451015,1500,0.712040745449447,0.7215555555555555,0.012888888888888889
T2,bug,0.616557734204793,0.9433333333333334,0.7457180500658761,1500,0.7082359253487015,0.7193333333333334,0.011555555555555555
T2,feature,0.860614724803431,0.8026666666666666,0.8306312521559158,1500,0.7082359253487015,0.7193333333333334,0.011555555555555555
T2,question,0.8196286472148541,0.412,0.5483584738243124,1500,0.7082359253487015,0.7193333333333334,0.011555555555555555
T3,bug,0.6072649572649572,0.9473333333333334,0.7401041666666667,1500,0.7000430561994784,0.7135555555555556,0.012222222222222223
T3,feature,0.8644793152639088,0.808,0.8352860096485183,1500,0.7000430561994784,0.7135555555555556,0.012222222222222223
T3,question,0.8221906116642959,0.38533333333333336,0.5247389922832502,1500,0.7000430561994784,0.7135555555555556,0.012222222222222223
T4,bug,0.6117089969866552,0.9473333333333334,0.7433952393408318,1500,0.7047207154018075,0.7164444444444444,0.014444444444444444
T4,feature,0.8693467336683417,0.8073333333333333,0.8371932250259246,1500,0.7047207154018075,0.7164444444444444,0.014444444444444444
T4,question,0.8233657858136301,0.39466666666666667,0.533573681838666,1500,0.7047207154018075,0.7164444444444444,0.014444444444444444
