repository,model_id,repeat_id,mode,n_issues,t0_macro_f1,t3_macro_f1,delta_t3_minus_t0
bitcoin/bitcoin,deepseek-v4-flash,1,exact,30,0.6213610950453056,0.5743525480367586,-0.04700854700854695
bitcoin/bitcoin,deepseek-v4-flash,2,exact,30,0.590491118077325,0.5404263680125748,-0.050064750064750196
bitcoin/bitcoin,deepseek-v4-flash,3,exact,30,0.5925925925925926,0.5661423674127849,-0.026450225179807663
bitcoin/bitcoin,glm-5.2,1,exact,30,0.5925925925925926,0.6213610950453056,0.028768502452713007
bitcoin/bitcoin,glm-5.2,2,exact,30,0.5925925925925926,0.5370370370370371,-0.05555555555555547
bitcoin/bitcoin,glm-5.2,3,exact,30,0.5925925925925926,0.5925925925925926,0.0
bitcoin/bitcoin,kimi-k2.7-code,1,exact,30,0.5925925925925926,0.6213610950453056,0.028768502452713007
bitcoin/bitcoin,kimi-k2.7-code,2,exact,30,0.7557017543859649,0.5404263680125748,-0.21527538637339005
bitcoin/bitcoin,kimi-k2.7-code,3,exact,30,0.722004357298475,0.6087369420702754,-0.11326741522819961
facebook/react,deepseek-v4-flash,1,exact,30,0.725,0.6844444444444444,-0.04055555555555557
facebook/react,deepseek-v4-flash,2,exact,30,0.7659958720330238,0.7445533769063181,-0.021442495126705707
facebook/react,deepseek-v4-flash,3,exact,30,0.6939473684210525,0.7075925925925927,0.013645224171540127
facebook/react,glm-5.2,1,exact,30,0.7659958720330238,0.7659958720330238,0.0
facebook/react,glm-5.2,2,exact,30,0.7659958720330238,0.7659958720330238,0.0
facebook/react,glm-5.2,3,exact,30,0.7659958720330238,0.7659958720330238,0.0
facebook/react,kimi-k2.7-code,1,exact,30,0.6939473684210525,0.725,0.031052631578947443
facebook/react,kimi-k2.7-code,2,exact,30,0.6939473684210525,0.6939473684210525,0.0
facebook/react,kimi-k2.7-code,3,exact,30,0.6939473684210525,0.7039473684210527,0.01000000000000012
microsoft/vscode,deepseek-v4-flash,1,exact,30,0.6105499438832772,0.5944055944055944,-0.01614434947768284
microsoft/vscode,deepseek-v4-flash,2,exact,30,0.5812303638390596,0.5812303638390596,0.0
microsoft/vscode,deepseek-v4-flash,3,exact,30,0.5812303638390596,0.5812303638390596,0.0
microsoft/vscode,glm-5.2,1,exact,30,0.6105499438832772,0.6105499438832772,0.0
microsoft/vscode,glm-5.2,2,exact,30,0.6105499438832772,0.6105499438832772,0.0
microsoft/vscode,glm-5.2,3,exact,30,0.6105499438832772,0.6105499438832772,0.0
microsoft/vscode,kimi-k2.7-code,1,exact,30,0.6105499438832772,0.6105499438832772,0.0
microsoft/vscode,kimi-k2.7-code,2,exact,30,0.6105499438832772,0.6105499438832772,0.0
microsoft/vscode,kimi-k2.7-code,3,exact,30,0.6105499438832772,0.5944055944055944,-0.01614434947768284
opencv/opencv,deepseek-v4-flash,1,exact,30,0.6972222222222223,0.6972222222222223,0.0
opencv/opencv,deepseek-v4-flash,2,exact,30,0.6972222222222223,0.6972222222222223,0.0
opencv/opencv,deepseek-v4-flash,3,exact,30,0.6972222222222223,0.6972222222222223,0.0
opencv/opencv,glm-5.2,1,exact,30,0.6638888888888889,0.6761695906432749,0.012280701754386003
opencv/opencv,glm-5.2,2,exact,30,0.7031303749570004,0.667280701754386,-0.03584967320261434
opencv/opencv,glm-5.2,3,exact,30,0.6638888888888889,0.667280701754386,0.003391812865497168
opencv/opencv,kimi-k2.7-code,1,exact,30,0.7031303749570004,0.7111111111111111,0.007980736154110768
opencv/opencv,kimi-k2.7-code,2,exact,30,0.7031303749570004,0.7111111111111111,0.007980736154110768
opencv/opencv,kimi-k2.7-code,3,exact,30,0.667280701754386,0.6972222222222223,0.02994152046783627
tensorflow/tensorflow,deepseek-v4-flash,1,exact,30,0.759041394335512,0.759041394335512,0.0
tensorflow/tensorflow,deepseek-v4-flash,2,exact,30,0.7193732193732193,0.759041394335512,0.03966817496229269
tensorflow/tensorflow,deepseek-v4-flash,3,exact,30,0.759041394335512,0.7193732193732193,-0.03966817496229269
tensorflow/tensorflow,glm-5.2,1,exact,30,0.759041394335512,0.759041394335512,0.0
tensorflow/tensorflow,glm-5.2,2,exact,30,0.7907894736842106,0.759041394335512,-0.03174807934869861
tensorflow/tensorflow,glm-5.2,3,exact,30,0.759041394335512,0.759041394335512,0.0
tensorflow/tensorflow,kimi-k2.7-code,1,exact,30,0.8359788359788359,0.7712962962962964,-0.06468253968253956
tensorflow/tensorflow,kimi-k2.7-code,2,exact,30,0.8317654038477836,0.7499775078722447,-0.08178789597553893
tensorflow/tensorflow,kimi-k2.7-code,3,exact,30,0.8023569023569023,0.7907894736842106,-0.01156742867269167
