model_id,model_label,taxonomy_condition,strict_macro_f1,strict_mcc,strict_balanced_accuracy,strict_accuracy,strict_invalid_rate,lenient_macro_f1,lenient_invalid_rate
deepseek-v4-flash,DeepSeek V4 Flash,T0,0.7082537078185399,0.6146813309833743,0.7233333333333333,0.7233333333333334,0.0033333333333333,0.7082537078185399,0.0033333333333333
deepseek-v4-flash,DeepSeek V4 Flash,T1,0.693764931368038,0.5864595666766704,0.7026666666666667,0.7026666666666667,0.0193333333333333,0.6935726376807533,0.0186666666666666
deepseek-v4-flash,DeepSeek V4 Flash,T2,0.7002548781719383,0.5949359520399093,0.71,0.71,0.0146666666666666,0.7005849787533373,0.014
deepseek-v4-flash,DeepSeek V4 Flash,T3,0.6843766067903999,0.5812934470752364,0.6973333333333334,0.6973333333333334,0.0186666666666666,0.6843766067903999,0.0186666666666666
deepseek-v4-flash,DeepSeek V4 Flash,T4,0.6985995693397337,0.5970205718101745,0.7080000000000001,0.708,0.0226666666666666,0.6985995693397337,0.0226666666666666
glm-5.2,GLM-5.2,T0,0.737649261248127,0.6396883353274451,0.7453333333333333,0.7453333333333333,0.006,0.737649261248127,0.006
glm-5.2,GLM-5.2,T1,0.7154803843670625,0.6181655781807546,0.7266666666666666,0.7266666666666667,0.0086666666666666,0.7154803843670625,0.0086666666666666
glm-5.2,GLM-5.2,T2,0.7141168264247533,0.6144522460840244,0.7246666666666667,0.7246666666666667,0.01,0.7164423817024878,0.0066666666666666
glm-5.2,GLM-5.2,T3,0.7111921369757569,0.6157172873521899,0.7246666666666667,0.7246666666666667,0.0046666666666666,0.7111921369757569,0.0046666666666666
glm-5.2,GLM-5.2,T4,0.7134547705803372,0.6187079955894668,0.7266666666666667,0.7266666666666667,0.0066666666666666,0.7134547705803372,0.0066666666666666
kimi-k2.7-code,Kimi K2.7 Code,T0,0.7589255118919579,0.6678340128794602,0.7653333333333334,0.7653333333333333,0.0,0.7589255118919579,0.0
kimi-k2.7-code,Kimi K2.7 Code,T1,0.7266387137238642,0.6312681351671793,0.7353333333333333,0.7353333333333333,0.0106666666666666,0.7266387137238642,0.0106666666666666
kimi-k2.7-code,Kimi K2.7 Code,T2,0.7102563951820594,0.6173642524061427,0.7233333333333333,0.7233333333333334,0.01,0.7102563951820594,0.01
kimi-k2.7-code,Kimi K2.7 Code,T3,0.7042574301329165,0.6141696028584196,0.7186666666666666,0.7186666666666667,0.0133333333333333,0.7042574301329165,0.0133333333333333
kimi-k2.7-code,Kimi K2.7 Code,T4,0.7019837624829345,0.6065384865865573,0.7146666666666667,0.7146666666666667,0.014,0.7019837624829345,0.014
