comparison,mean_delta_macro_f1,median_delta_macro_f1,ci_low,ci_high,paired_dz,rank_biserial,n_blocks,wilcoxon_statistic,p_value,zero_differences,zero_method,holm_adjusted_p
T1-T2,0.004316415570514905,0.0050478383573793195,-0.0031694517055774374,0.012452703553940073,0.26860094505786714,0.26666666666666666,15,44.0,0.389404296875,0,wilcox,0.6605224609375
T1-T3,0.012970149803566285,0.011668166434826932,0.006293748455635846,0.019742311518970396,0.9407370215096624,0.8,15,12.0,0.0042724609375,0,wilcox,0.025634765625
T1-T4,0.007553220064674086,0.0052076164411332115,-0.002236770812999448,0.017381762673331785,0.3722168631046305,0.45,15,33.0,0.1353759765625,0,wilcox,0.54150390625
T2-T3,0.00865373423305138,0.007713761446377587,0.0015845904616087697,0.01529852174510023,0.6217915879011021,0.65,15,21.0,0.02557373046875,0,wilcox,0.12786865234375
T2-T4,0.003236804494159181,0.008181207730829976,-0.003461682224264985,0.00946975306612801,0.2451568520325155,0.3,15,42.0,0.33026123046875,0,wilcox,0.6605224609375
T3-T4,-0.005416929738892199,-0.0077360147428525705,-0.012486525434147156,0.0019957111436344033,-0.37002768423696475,-0.4166666666666667,15,35.0,0.1688232421875,0,wilcox,0.54150390625
