model_id,raw_checkpoint_records,canonical_tasks,final_successful_tasks,unresolved_final_tasks,exhausted_retry_batch_records,tasks_recovered_after_error_checkpoint,max_error_checkpoints_per_task,successful_rows_with_additional_project_adapter_invocation,max_project_adapter_invocations_per_batch,timeout_seconds,retry_policy
deepseek-v4-flash,8368,7500,7500,0,868,868,1,0,3,120,"provider/transport exceptions used up to three project-level adapter attempts per batch; retry_count summarizes those adapter attempts, while OpenAI-compatible SDK internal retries and their outbound HTTP attempts were not observed; tasks with a terminal technical-error checkpoint remained pending and were retried by later checkpoint-resume invocations; completed malformed or empty model outputs were not retried"
glm-5.2,14343,7500,7500,0,6843,3009,3,0,3,120,"provider/transport exceptions used up to three project-level adapter attempts per batch; retry_count summarizes those adapter attempts, while OpenAI-compatible SDK internal retries and their outbound HTTP attempts were not observed; tasks with a terminal technical-error checkpoint remained pending and were retried by later checkpoint-resume invocations; completed malformed or empty model outputs were not retried"
kimi-k2.7-code,15000,7500,7500,0,7500,7500,1,0,3,120,"provider/transport exceptions used up to three project-level adapter attempts per batch; retry_count summarizes those adapter attempts, while OpenAI-compatible SDK internal retries and their outbound HTTP attempts were not observed; tasks with a terminal technical-error checkpoint remained pending and were retried by later checkpoint-resume invocations; completed malformed or empty model outputs were not retried"
